rating,sentences
0,오늘 하루 종일 비 왔다. 나는 축축한 느낌이 싫어서 비도 싫다.
0,밤새 윙윙거리는 모기때문에 잠을 못잤다.
0,습도가 너무 높다. 차라리 어항 속을 걷는 게 낫겠어.
0,하루종일 숙제만 하다가 잤다.
0,다이어트한다고 탄수화물을 줄였더니 몸에 힘이 없다.
0,급식이 너무 적어서 배고파 죽겠다.
0,진로 정하는 것은 너무 막막하다. 앞으로 뭐 해먹고 살지?
0,이 날씨에 밖을 걸어다니느니 그냥 집에 있을래.
0,나한테 진짜 친구는 있는 것일까? 없는 것 같아.
0,용돈을 다 써서 오늘 저녁은 김밥을 먹었다. 용돈이 너무 적어서 맨날 돈이 모자른다.
0,괜히 답을 고쳤다가 틀렸다. 등급이 바뀌어서 짜증난다.
0,맨날 약속에 늦는 너때문에 짜증나.
0,계획을 안 지키는 사람은 딱 질색이다.
0,약속을 했으면 지켜야지 왜 전날 취소하지?
0,치과에 가는 날이다. 위잉 소리는 너무 무섭다.
0,오늘 알람을 하나도 못 들어서 결국 지각했다.
0,선생님 몰래 교실에 들어오려고 했는데 실패해가지고 혼났다.
0,왜 하필 오늘이지?
0,컨디션이 너무 안좋다.
0,이 날씨에 교복 치마만 입게 하는 것은 너무 심했다. 덜덜 떨었다.
0,추운 곳에서 벌벌 떨었더니 감기에 걸리고 말았다.
0,코로나는 아니겠지?
0,언제까지 이렇게 살아야하는 것이지? 차라리 수능을 빨리 봤으면 좋겠다.
0,야식을 먹고 바로 잤더니 얼굴이 팅팅 부었다.
0,친구가 나보고 살쪘다고 놀렸다.
0,사람이 싫다는데 왜 자꾸 놀리는 거지? 이해가 안된다.
0,잠을 자도 자도 피곤하다. 잠이 부족한 것 같다.
0,입을 옷이 없다.
0,아빠랑 어제 싸웠다.
0,내 마음을 왜 몰라주는 것인지 모르겠다.
0,모르는 문제가 너무 많아서 다 틀렸다.
0,하고 싶은 게 너무 많은데 시간이 없다.
0,야자는 너무 졸리다.
0,시간이 없어서 짜증난다.
0,한 것도 없는데 벌써 5월이다.
0,생각보다 너무 많이 틀려서 우울하다.
0,나는 언제쯤 웃을 수 있을까?
0,바보같은 세상이다.
0,왜 나한테 거짓말을 하는 거지?
0,거지같은 인생이다.
0,내가 착해서 참는 게 아니다.
0,과제가 해도해도 계속 나온다.
0,선생님은 왜 본인만 생각하지?
0,선생님만 바쁜 게 아니라구요.
0,오늘은 그냥 기분이 안좋다.
0,두 번이나 말했는데 기억을 못했다.
0,컴퓨터는 왜 이렇게 느린거야.
0,오늘은 화장이 잘 안 먹는다.
0,나도 모르게 에어팟을 흘렸나보다. 잃어버렸다.
0,잊게 되는 약속들이 너무 많다.
0,나만 진심으로 대한 것들이 너무 많다.
0,진짜 친구를 만들고 싶다. 노력 중인데 힘들다.
0,막막한 내 앞길.
0,동생이 또 까불어서 한 판 했다. 내가 지 동생도 아니고 왜 자꾸 까불지?
0,시비걸고 싶다.
0,집에만 있는 거 너무 답답해.
0,집과 독서실만 왔다 갔다 하니까 답답하다.
0,친구들 만나고 싶은데 상황이 안되어서 짜증난다.
0,나만 또 진심이었다.
0,짝을 바꿨는데 내가 별로 안 친한 애랑 짝이 되었다.
0,짝을 바꿨는데 싸운 친구랑 앞 뒤로 앉게 되었다.
0,나는 운이 정말 없는 것 같다.
0,바보같이 실수를 했다.
0,걷다가 넘어져서 피가 났다.
0,우산을 썼는데도 비를 다 맞아서 젖었다.
0,시험기간이 왜 이렇게 길지?
0,비둘기똥을 맞았다.
0,손을 베어서 피가 났다.
0,눈에 다래끼가 나서 병원에 다녀왔다.
0,기다리는 시간이 너무 길어서 어이가 없었다.
0,새치기 하는 사람 때문에 혼자 화났다.
0,엘리베이터가 고장나서 걸어 올라오느라 온 몸이 땀범벅이다.
0,땀이 너무 끈적끈적하다. 불쾌해.
0,고수를 잘못 씹어서 먹다가 뱉었다.
0,씻어도 씻어도 덥다.
0,지구온난화가 사람을 힘들게 한다.
0,여행가고 싶다. 언제쯤 갈 수 있을까?
0,따돌림 당하는 것은 아니겠지?
0,빨리 끝났으면 좋겠다.
0,영어가 세상에서 제일 어려워.
0,수학이 세상에서 제일 어려워.
0,난 해도 해도 안되는 인간이다.
0,날카로운 말에 상처를 받았다.
0,엄마는 내 마음을 몰라준다.
0,하루종일 아파서 누워있었다.
0,급하게 먹다가 체했다.
0,고백을 했는데 차였다.
0,내 마음도 몰라주는 바보이다.
0,동생이랑은 도저히 말이 안통한다. 차라리 벽을 보면서 대화하는 게 낫다.
0,답답한 곳은 싫다.
0,사람 앞에 서는 것은 너무 무섭다.
0,식은땀이 하루종일 났다.
0,며칠째 아프기만 한다.
0,누워있으니까 무기력하다.
0,차라리 이렇게 사느니 자퇴를 하고 말지.
0,맛없는 걸 언제까지 먹어야하는 것일까.
0,어른들은 자기들 생각이 다 맞는 줄 안다.
0,배려심이 없다.
